2020-01-16,[-265.]
2020-01-17,[-9.]
2020-01-18,[-592.]
2020-01-20,[1250.]
2020-01-21,[-521.]
2020-01-22,[51.]
2020-01-23,[-136.]
2020-01-24,[-64.]
2020-01-25,[-617.]
2020-01-27,[1231.]
2020-01-28,[-394.]
2020-01-29,[-150.]
2020-01-30,[-110.]
2020-01-31,[-60.]
2020-01-02,[-536.]
2020-03-02,[1178.]
2020-04-02,[-368.]
2020-05-02,[-137.]
2020-06-02,[-34.]
2020-07-02,[-150.]
2020-08-02,[-486.]
2020-10-02,[1112.]
2020-11-02,[-370.]
2020-12-02,[4.]
2020-02-13,[-209.]
2020-02-14,[-26.]
2020-02-15,[-602.]
2020-02-17,[1123.]
2020-02-18,[-306.]
2020-02-19,[-74.]
2020-02-20,[-157.]
2020-02-21,[-11.]
2020-02-22,[-579.]
2020-02-24,[938.]
2020-02-25,[-130.]
2020-02-26,[-8.]
2020-02-27,[-128.]
2020-02-28,[-148.]
2020-02-29,[-482.]
2020-02-03,[1192.]
2020-03-03,[-420.]
2020-04-03,[-78.]
2020-05-03,[-4.]
2020-06-03,[-77.]
2020-07-03,[-575.]
2020-09-03,[981.]
2020-10-03,[-268.]
2020-11-03,[-102.]
2020-12-03,[-79.]
2020-03-13,[-179.]
2020-03-14,[-475.]
2020-03-16,[708.]
2020-03-17,[-188.]
2020-03-18,[-26.]
2020-03-19,[6.]
2020-03-20,[-7.]
2020-03-21,[-406.]
2020-03-23,[1075.]
2020-03-24,[-369.]
2020-03-25,[-8.]
2020-03-26,[68.]
2020-03-27,[-233.]
2020-03-30,[894.]
2020-03-31,[-584.]
2020-01-04,[-76.]
2020-02-04,[44.]
2020-03-04,[-130.]
2020-06-04,[560.]
2020-07-04,[-448.]
2020-08-04,[-134.]
2020-09-04,[-33.]
2020-04-14,[1391.]
2020-04-15,[-895.]
2020-04-16,[-227.]
2020-04-17,[-87.]
2020-04-20,[841.]
2020-04-21,[-662.]
2020-04-22,[-52.]
2020-04-23,[-151.]
2020-04-24,[2.]
2020-04-25,[-717.]
2020-04-27,[1232.]
2020-04-28,[-333.]
2020-04-29,[2.]
2020-04-30,[-140.]
2020-02-05,[-439.]
2020-04-05,[1299.]
2020-05-05,[-687.]
2020-06-05,[-212.]
2020-07-05,[-78.]
2020-08-05,[-23.]
2020-09-05,[-656.]
2020-11-05,[1246.]
2020-12-05,[-322.]
2020-05-13,[-54.]
2020-05-14,[10.]
2020-05-15,[-104.]
2020-05-16,[-703.]
2020-05-18,[1108.]
2020-05-19,[-377.]
2020-05-20,[-75.]
2020-05-22,[87.]
2020-05-23,[-705.]
2020-05-25,[1272.]
2020-05-26,[-425.]
