date,volume
2020-07-10,1102
2020-07-11,457
2020-07-12,
2020-07-13,1557
2020-07-14,1410
2020-07-15,1340
2020-07-16,1311
2020-07-17,1121
2020-07-18,443
2020-07-19,
2020-07-20,1666
2020-07-21,1390
2020-07-22,1340
2020-07-23,1209
2020-07-24,1192
2020-07-25,494
2020-07-26,
2020-07-27,1811
2020-07-28,1227
2020-07-29,1324
2020-07-30,1167
2020-07-31,941
